binominal,SRL
Magnolia_virginiana,3.0022112396517002
Magnolia_yunnanensis,2.847232265235547
Magnolia_yuyuanensis,3.5779478934066544
Mallotus_paniculatus,4.575959027819343
Malus_baccata,4.268713712142645
Malus_domestica,4.032426399670245
Manglietia_paruicula,3.0828269804049246
Matteuccia_struthiopteris,5.184337650070223
Melicope_pteleifolia,4.576667825515379
Memecylon_nigrescens,4.477906235168379
Microcos_paniculata,4.7482310288287435
Microtropis_discolor,4.376888456817758
Millettia_leptobotrya,3.2433732964685884
Myrsine_seguinii,4.033761541634073
Nabalus_tatarinowii,5.837122182327003
Neolitsea_phanerophlebia,3.6054978451748854
Nephelium_lappaceum,4.068171687918078
Nyssa_aquatica,2.608107083328578
Nyssa_sylvatica,2.6080681658227656
Ocotea_lancifolia,3.52542448828846
Olea_rosea,3.364187556028255
Onoclea_sensibilis,4.997815198049815
Oreocnide_frutescens,4.544155511736094
Orophea_creaghii,3.813527758679047
Osmanthus_didymopetalus,1.4861396960896067
Osmunda_japonica,3.1579435469054666
Parthenocissus_quinquefolia,5.027890960377734
Pentaphylax_euryoides,4.583333491378917
Pertusadina_metcalfii,4.604770105966751
Phellodendron_amurense,3.595633792866697
Philadelphus_incanus,5.174868459551634
Phlomoides_umbrosa,4.810882612537776
Picea_glauca,3.6635616461296463
Picea_koraiensis,3.995752803698256
Picea_meyeri,3.881446682632099
Picea_wilsonii,4.1970957847334915
Pinus_armandii,3.8110076804079216
Pinus_edulis,2.995732273553991
Pinus_elliottii,3.811269146776913
Pinus_koraiensis,3.1706704202695604
Pinus_massoniana,4.091879989155383
Pinus_palustris,3.493472657771326
Pinus_pumila,3.97293082855107
Pinus_resinosa,3.4657359027997265
Pinus_strobus,3.509752788216501
Pinus_sylvestris,3.469023988791029
Pinus_tabuliformis,4.4370164110224835
Pinus_virginiana,3.500942158534346
Pistacia_chinensis,4.505128831807865
Platanus_acerifolia,3.175132901920282
Platanus_occidentalis,2.4830207392427712
Platycladus_orientalis,2.873941216500069
Podocarpus_chinensis,2.7343675094195836
Podocarpus_neriifolius,4.671921721289969
Populus_balsamifera,4.499809670330265
Populus_cathayana,5.049500526873019
Populus_deltoides,4.468836545016303
Populus_koreana,5.251494573334607
Populus_tremula,5.796687139386251
Populus_tremuloides,3.904343594084277
Populus_trichocarpa,5.79136831956124
Prunus_alabamensis,4.963876121865704
Prunus_armeniaca,3.518862936047514
Prunus_avium,4.956418997863008
Prunus_padus,5.50616332770253
Prunus_persica,4.334166494167092
Prunus_sargentii,4.399899946952382
Prunus_sibirica,4.701501623222388
Psychotria_asiatica,4.474935068958718
