binominal,state,RD
Sorbus_discolor,AM,-1.5904934964331625
Spiraea_dahurica,AM,-2.101550554639839
Spiraea_pubescens,AM,-0.9885926436295602
Sterculia_lanceolata,AM,-1.4071979262257612
Sterculia_nobilis,AM,-1.387284951592667
Strobilanthes_dimorphotricha,AM,-1.3137876703331426
Strobilanthes_villosum,AM,-1.461209304941529
Styphnolobium_japonicum,AM,-1.2579213752280378
Styrax_suberifolius,AM,-1.27421645771454
Syringa_reticulata,AM,-1.4476489026379078
Syzygium_acuminatissimum,AM,-1.0788096613719298
Syzygium_globiflorum,AM,-1.629079552689389
Syzygium_hancei,AM,-1.9681870166711393
Syzygium_jambos,AM,-1.4927666056304074
Syzygium_levinei,AM,-1.9217542658442428
Syzygium_szemaoense,AM,-1.6347557204183902
Thalictrum_simplex,AM,-1.6109390385603677
Tilia_amurensis,EcM,-1.57310598318671
Tilia_cordata,EcM,-1.163224834945474
Tilia_mandshurica,EcM,-1.315749261895315
Tilia_mongolica,EcM,-1.679311455527048
Tilia_oliveri,EcM,-1.5751572659572675
Trachelospermum_axillare,AM,-1.2330583852210326
Ulmus_americana,AM,-1.8338913525281542
Ulmus_davidiana,AM,-1.4754319911661053
Ulmus_laciniata,AM,-2.113139795401257
Ulmus_macrocarpa,AM,-1.503093628335168
Ulmus_pumila,AM,-1.5314165285674806
Vaccinium_corymbosum,ErM,-2.9752793675387763
Vaccinium_mandarinorum,ErM,-2.549509172973659
Veratrum_nigrum,AM,-1.0799868245449447
Veronica_spuria,NMAM,-1.67825222843446
Vitis_amurensis,AM,-1.2908023796606698
Vitis_vinifera,AM,-1.920805696404654
Wendlandia_uvariifolia,AM,-1.4953505863963323
Abies_alba,EcM,-0.5923972774598022
Acer_campestre,AM,-0.8651224452997557
Achillea_millefolium,AM,-1.501316212543988
Adinandra_millettii,AM,-0.7985076962177716
Afrocarpus_falcatus,AM,-0.2744368457017603
Agastache_foeniculum,AM,-0.8675005677047231
Agathis_australis,AM,-0.4628506065533998
Agathis_kinabaluensis,AM,-0.2940355464239563
Aglaia_exstipulata,AM,-0.08790268317591103
Aglaia_odoratissima,AM,-0.1690697511182067
Agropyron_cristatum,AM,-1.4696759700589417
Agrostis_capillaris,AM,-1.6433394641097818
Agrostis_scabra,AM,-1.5606477482646683
Aira_elegantissima,NMAM,-1.4784096500276966
Alchemilla_alpina,AM,-0.9834994815676051
Alectryon_excelsus,AM,-0.7658791767260443
Aleurites_moluccana,AM,-0.05129329438755058
Alliaria_petiolata,NM,-1.7885645783315358
Allium_bidentatum,AM,-0.6931471805599453
Allium_tenuissimum,AM,-0.916290731874155
Allium_textile,AM,-1.168659288052703
Allophylus_abyssinicus,AM,-0.5978370007556204
Alnus_glutinosa,EcM,-0.9526305986530476
